date,Petroleum,Natural Gas,Coal,Nuclear,Solar,Wind,Hydro,Geothermal,Ethanol,Biomass
2008,36.90682,23.842953,22.387437,8.426491,0.073848,0.545548,2.511108,0.192433,1.357144,2.494248
2009,34.95905,23.41594,19.691205,8.35522,0.0777,0.721129,2.668824,0.200185,1.553334,2.382697
2010,35.488766,24.574754,20.833968,8.434433,0.090478,0.923427,2.538541,0.207979,1.821121,2.448599
2011,34.823508,24.954539,19.657784,8.268698,0.110891,1.167636,3.102852,0.212311,1.933413,2.472039
2012,34.015932,26.088582,17.378234,8.061822,0.157023,1.340059,2.628702,0.211592,1.892252,2.47687
2013,34.608605,26.805134,18.038633,8.244433,0.225035,1.601359,2.562382,0.214006,2.007181,2.665979
2014,34.881101,27.382872,17.997632,8.337559,0.336793,1.727542,2.466577,0.21449,2.066833,2.757783
2015,35.592292,28.146824,15.571021,8.33768,0.426463,1.777306,2.321177,0.211836,2.144978,2.589187
2016,35.432079,28.593996,13.934096,8.344957,0.587096,2.110612,2.477264,0.225808,2.275203,2.481169
2017,35.703839,28.766603,14.121863,8.284113,0.763585,2.30804,2.509136,0.178716,2.400338,2.298755
2018,36.254993,29.022688,14.131117,8.150873,0.864235,2.482642,2.707721,0.174289,2.413272,2.363971
2019,36.420858,28.762493,14.824502,8.052432,0.932038,2.586092,2.906678,0.172986,2.427676,2.420585
2020,36.29663,28.21674,15.236478,7.967206,1.001209,3.026647,2.938529,0.194451,2.423558,2.43861
2021,36.27216,28.090239,14.943038,8.077239,1.060799,3.603889,2.938702,0.217068,2.404215,2.473518
2022,36.220961,28.072969,14.448689,8.114388,1.248569,4.237181,2.939673,0.237268,2.396555,2.512068
2023,36.091044,28.231184,14.22141,8.142645,1.326246,4.606067,2.943874,0.263052,2.390892,2.5395
2024,35.853788,28.667879,13.883812,8.153687,1.371469,4.674276,2.948852,0.283429,2.383238,2.570349
2025,35.509371,29.143995,13.470406,8.089303,1.42169,4.68097,2.954711,0.296306,2.379135,2.578324
2026,35.204976,29.571499,13.011183,7.995818,1.494648,4.68524,2.960161,0.313973,2.351309,2.578222
2027,34.912449,29.709593,12.571983,8.013367,1.589633,4.688673,2.960707,0.336732,2.340739,2.627416
2028,34.664766,29.944077,12.192351,8.028037,1.684143,4.693689,2.969929,0.357843,2.33466,2.631798
2029,34.48554,30.194714,11.816626,8.035358,1.861817,4.700643,2.970007,0.377202,2.326268,2.632394
2030,34.34,30.363586,11.509447,8.032678,2.058127,4.705177,2.971849,0.398382,2.321558,2.62871
2031,34.199378,30.330391,11.482571,8.015324,2.214261,4.712798,2.972455,0.415274,2.303794,2.626645
2032,34.073757,30.557322,11.351381,7.976371,2.321606,4.721023,2.972477,0.436095,2.294716,2.613739
2033,34.007116,30.705759,11.311356,7.962672,2.529194,4.735134,2.979366,0.454889,2.291413,2.619284
2034,34.033451,31.124531,11.153927,7.805416,2.693952,4.744389,2.980949,0.471707,2.291151,2.624532
2035,34.080462,31.606298,10.972129,7.544044,2.839819,4.779994,2.983398,0.486539,2.292163,2.625697
2036,34.148025,31.782555,10.963081,7.493503,3.065399,4.832429,2.985953,0.496805,2.292514,2.645609
2037,34.246701,32.12635,10.818531,7.385852,3.221727,4.851913,2.990533,0.5068,2.294085,2.664668
2038,34.385272,32.43187,10.685933,7.353649,3.418493,4.899069,2.993514,0.514983,2.296616,2.68426
2039,34.562774,32.707497,10.606814,7.317339,3.617182,4.961345,2.993672,0.522985,2.298943,2.699607
2040,34.703039,32.873837,10.548745,7.340241,3.876084,5.006842,2.993818,0.534971,2.299711,2.713441
2041,34.836438,33.139824,10.458899,7.27309,4.120915,5.021774,2.995028,0.545079,2.296204,2.733029
2042,35.013715,33.371868,10.393493,7.21433,4.380487,5.03605,2.999123,0.557129,2.296756,2.748962
2043,35.231497,33.559608,10.362563,7.154865,4.659119,5.099593,2.999403,0.563945,2.294658,2.768027
2044,35.451929,33.859089,10.271221,7.041212,4.899958,5.183067,3.002322,0.569956,2.302798,2.790173
2045,35.668749,34.182583,10.16807,6.90728,5.054507,5.279748,3.004543,0.577261,2.317848,2.821496
2046,35.888688,34.464352,10.124968,6.80286,5.236603,5.388975,3.005917,0.58477,2.338539,2.830767
2047,36.108188,34.769478,10.054603,6.624632,5.44306,5.513031,3.006417,0.592565,2.373128,2.850972
2048,36.338694,34.982883,10.008825,6.539132,5.658748,5.63987,3.008946,0.599888,2.399602,2.864459
2049,36.604972,35.176476,9.99021,6.51398,5.890228,5.783532,3.010209,0.607336,2.417498,2.885127
2050,36.929651,35.652538,9.849339,6.360683,6.074524,5.827377,3.015615,0.614561,2.411877,2.902234
